measure_id,anchor_id,dst_ip,init_time,latency_m1,latency_m2,latency_m3,latency_m4,latitude,longitude
185.184.8.158_2024-07-19 23:06:22,3138,185.184.8.158,2024-07-19 23:06:22,9.517,18.586,31.8274,26.1664,52.3924715,4.6637487
2.58.52.152_2024-07-19 23:09:48,1716,2.58.52.152,2024-07-19 23:09:48,2.2634,23.0442,32.215,17.8522,50.1109221,8.6821267
185.181.224.13_2024-07-19 23:10:32,1001,185.181.224.13,2024-07-19 23:10:32,10.367,30.5322,43.1572,29.7546,48.06396,11.5565
193.27.55.25_2024-07-19 23:14:05,2799,193.27.55.25,2024-07-19 23:14:05,7.706,26.2982,33.0046,22.9914,49.4521018,11.0766654
5.180.57.81_2024-07-19 23:14:39,3377,5.180.57.81,2024-07-19 23:14:39,14.3202,24.0706,28.57,33.9002,45.7224804,4.8628788
212.51.187.100_2024-07-19 23:15:33,1379,212.51.187.100,2024-07-19 23:15:33,15.1872,21.9956,22.1806,32.3088,48.7039885,6.1408527
185.233.32.213_2024-07-19 23:16:46,3053,185.233.32.213,2024-07-19 23:16:46,20.3842,29.1898,35.0718,35.658,43.2924349,5.4952833
193.36.105.129_2024-07-19 23:18:59,1849,193.36.105.129,2024-07-19 23:18:59,15.424,36.394,30.0822,36.0004,47.4093339,8.5448754
91.206.229.135_2024-07-19 23:21:07,3633,91.206.229.135,2024-07-19 23:21:07,10.5556,16.5488,17.5918,26.2418,48.7865723,2.2081887
185.151.70.11_2024-07-19 23:21:41,1353,185.151.70.11,2024-07-19 23:21:41,28.5378,38.2572,34.3014,44.2832,43.5418329,1.5155506
45.150.40.189_2024-07-19 23:22:34,2884,45.150.40.189,2024-07-19 23:22:34,15.897,31.8432,27.269,36.977,52.3329076,4.919533
104.167.214.46_2024-07-19 23:24:22,3390,104.167.214.46,2024-07-19 23:24:22,23.7218,28.0394,53.063,46.225,52.3924715,4.6637487
87.195.25.82_2024-07-19 23:25:36,2360,87.195.25.82,2024-07-19 23:25:36,10.2884,16.9954,26.0754,26.3866,52.24703,6.001603
185.54.92.70_2024-07-19 23:26:50,1245,185.54.92.70,2024-07-19 23:26:50,10.2012,24.0168,29.511,28.3366,52.24703,6.001603
185.29.203.234_2024-07-19 23:27:24,3600,185.29.203.234,2024-07-19 23:27:24,10.7306,18.652,32.008,29.3814,52.1284444,4.6309051
